Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A,Label
10.0.0.17,10.0.0.49,24,4440,12,2220,12,2220,9.836679238,9.754670101,1820.66639,1820.66639,Low
10.0.0.18,10.0.0.25,8,1480,4,740,4,740,9.739456855,2.164711567,2734.775427,2734.775427,Low
10.0.0.18,10.0.0.23,8,1480,4,740,4,740,9.739461387,1.481163807,3996.857047,3996.857047,Low
10.0.0.18,10.0.0.19,8,1480,4,740,4,740,9.739464579,0.079483928,74480.46604,74480.46604,Low
10.0.0.18,10.0.0.20,8,1480,4,740,4,740,9.739469344,0.441331424,13413.95531,13413.95531,Low
10.0.0.18,10.0.0.21,8,1480,4,740,4,740,9.739472652,0.754377592,7847.52896,7847.52896,Low
10.0.0.18,10.0.0.24,8,1480,4,740,4,740,9.73947599,1.903881773,3109.436775,3109.436775,Low
10.0.0.18,10.0.0.22,8,1480,4,740,4,740,9.739482882,1.019317559,5807.807339,5807.807339,Low
10.0.0.18,10.0.0.43,16,2960,8,1480,8,1480,9.819311488,7.74960447,1527.819909,1527.819909,Low
10.0.0.18,10.0.0.42,16,2960,8,1480,8,1480,9.819330406,7.290324094,1624.070459,1624.070459,Low
10.0.0.18,10.0.0.46,16,2960,8,1480,8,1480,9.819348856,8.529985099,1388.044629,1388.044629,Low
10.0.0.18,10.0.0.45,16,2960,8,1480,8,1480,9.819368589,8.142506892,1454.097633,1454.097633,Low
10.0.0.18,10.0.0.41,16,2960,8,1480,8,1480,9.819386946,7.185332362,1647.801299,1647.801299,Low
10.0.0.18,10.0.0.39,16,2960,8,1480,8,1480,9.819405823,6.798687659,1741.512567,1741.512567,Low
10.0.0.18,10.0.0.38,16,2960,8,1480,8,1480,9.819424119,6.322241393,1872.753548,1872.753548,Low
10.0.0.18,10.0.0.40,16,2960,8,1480,8,1480,9.819442448,6.951767391,1703.164006,1703.164006,Low
10.0.0.18,10.0.0.34,16,2960,8,1480,8,1480,9.819461093,5.383847299,2199.170842,2199.170842,Low
10.0.0.18,10.0.0.36,16,2960,8,1480,8,1480,9.819480295,6.056375991,1954.96449,1954.96449,Low
10.0.0.18,10.0.0.35,16,2960,8,1480,8,1480,9.819498551,5.543893586,2135.683129,2135.683129,Low
10.0.0.18,10.0.0.37,16,2960,8,1480,8,1480,9.819516542,6.210634756,1906.407391,1906.407391,Low
10.0.0.18,10.0.0.44,16,2960,8,1480,8,1480,9.843693054,8.031238578,1474.243342,1474.243342,Low
10.0.0.18,10.0.0.47,16,2960,8,1480,8,1480,9.843711427,8.825915745,1341.503855,1341.503855,Low
10.0.0.18,10.0.0.49,16,2960,8,1480,8,1480,9.843729442,9.636096325,1228.71333,1228.71333,Low
10.0.0.18,10.0.0.26,16,2960,8,1480,8,1480,9.84384806,2.661284024,4448.980227,4448.980227,Low
10.0.0.18,10.0.0.27,16,2960,8,1480,8,1480,9.843869245,2.992815285,3956.141249,3956.141249,Low
10.0.0.18,10.0.0.30,16,2960,8,1480,8,1480,9.843888905,3.987410309,2969.345786,2969.345786,Low
10.0.0.18,10.0.0.29,16,2960,8,1480,8,1480,9.843907612,3.71088767,3190.611264,3190.611264,Low
10.0.0.18,10.0.0.33,16,2960,8,1480,8,1480,9.843925773,5.027486872,2355.05339,2355.05339,Low
10.0.0.18,10.0.0.32,16,2960,8,1480,8,1480,9.843944318,4.736720767,2499.619585,2499.619585,Low
10.0.0.18,10.0.0.31,16,2960,8,1480,8,1480,9.843962662,4.094484745,2891.69474,2891.69474,Low
10.0.0.18,10.0.0.28,16,2960,8,1480,8,1480,9.923264782,3.283055802,3606.39621,3606.39621,Low
10.0.0.18,10.0.0.48,16,2960,8,1480,8,1480,10.06237539,9.055622913,1307.474937,1307.474937,Low
10.0.0.19,10.0.0.20,8,1480,4,740,4,740,9.923272637,0.257517808,22988.70143,22988.70143,Low
10.0.0.19,10.0.0.22,8,1480,4,740,4,740,9.923275443,0.835533953,7085.289567,7085.289567,Low
10.0.0.19,10.0.0.21,8,1480,4,740,4,740,9.979119202,0.514720153,11501.3954,11501.3954,Low
10.0.0.19,10.0.0.23,8,1480,4,740,4,740,9.979124565,1.244704174,4756.150195,4756.150195,Low
10.0.0.19,10.0.0.24,8,1480,4,740,4,740,9.979129844,1.664257079,3557.142748,3557.142748,Low
10.0.0.19,10.0.0.25,8,1480,4,740,4,740,9.979134432,1.978108685,2992.757701,2992.757701,Low
10.0.0.19,10.0.0.26,16,2960,8,1480,8,1480,10.06360265,2.441523481,4849.431141,4849.431141,Low
10.0.0.19,10.0.0.27,16,2960,8,1480,8,1480,10.06360552,2.829901033,4183.891897,4183.891897,Low
10.0.0.19,10.0.0.28,16,2960,8,1480,8,1480,10.12150225,3.084839164,3838.125546,3838.125546,Low
10.0.0.19,10.0.0.35,16,2960,8,1480,8,1480,10.12669141,5.16527528,2292.230202,2292.230202,Low
10.0.0.19,10.0.0.34,16,2960,8,1480,8,1480,10.12669908,4.953402926,2390.275973,2390.275973,Low
10.0.0.19,10.0.0.36,16,2960,8,1480,8,1480,10.1267019,5.749176188,2059.425492,2059.425492,Low
10.0.0.19,10.0.0.37,16,2960,8,1480,8,1480,10.12670473,5.965631576,1984.701846,1984.701846,Low
10.0.0.19,10.0.0.29,16,2960,8,1480,8,1480,10.12670758,3.464661256,3417.361504,3417.361504,Low
10.0.0.19,10.0.0.30,16,2960,8,1480,8,1480,10.12671146,3.704601671,3196.02512,3196.02512,Low
10.0.0.19,10.0.0.31,16,2960,8,1480,8,1480,10.12671799,3.811736604,3106.19574,3106.19574,Low
10.0.0.19,10.0.0.39,16,2960,8,1480,8,1480,10.13369155,6.617006516,1789.32875,1789.32875,Low
10.0.0.19,10.0.0.38,16,2960,8,1480,8,1480,10.1336998,6.007979463,1970.712462,1970.712462,Low
10.0.0.19,10.0.0.41,16,2960,8,1480,8,1480,10.13370309,6.871068367,1723.167253,1723.167253,Low
10.0.0.19,10.0.0.40,16,2960,8,1480,8,1480,10.13370692,6.637511862,1783.800955,1783.800955,Low
10.0.0.19,10.0.0.32,16,2960,8,1480,8,1480,10.13371015,4.44694848,2662.499926,2662.499926,Low
10.0.0.19,10.0.0.33,16,2960,8,1480,8,1480,10.13371433,4.737768729,2499.066687,2499.066687,Low
10.0.0.19,10.0.0.42,16,2960,8,1480,8,1480,10.18054669,6.929117215,1708.731377,1708.731377,Low
10.0.0.19,10.0.0.43,16,2960,8,1480,8,1480,10.18060678,7.467870556,1585.458654,1585.458654,Low
10.0.0.19,10.0.0.44,16,2960,8,1480,8,1480,10.18061141,7.73496825,1530.710873,1530.710873,Low
10.0.0.19,10.0.0.45,16,2960,8,1480,8,1480,10.18061483,7.788017575,1520.284191,1520.284191,Low
10.0.0.19,10.0.0.46,16,2960,8,1480,8,1480,10.18061843,8.168729603,1449.429786,1449.429786,Low
10.0.0.19,10.0.0.47,16,2960,8,1480,8,1480,10.18062335,8.407539236,1408.259857,1408.259857,Low
10.0.0.19,10.0.0.48,16,2960,8,1480,8,1480,10.18063048,8.937382853,1324.772609,1324.772609,Low
10.0.0.19,10.0.0.49,16,2960,8,1480,8,1480,10.18063393,9.2992011,1273.227654,1273.227654,Low
10.0.0.20,10.0.0.21,8,1480,4,740,4,740,10.23058509,0.263283144,22485.29819,22485.29819,Low
10.0.0.20,10.0.0.23,8,1480,4,740,4,740,10.28003101,0.943817552,6272.398715,6272.398715,Low
10.0.0.20,10.0.0.24,8,1480,4,740,4,740,10.28003433,1.404127426,4216.141563,4216.141563,Low
10.0.0.20,10.0.0.22,8,1480,4,740,4,740,10.28003734,0.478789938,12364.50378,12364.50378,Low
10.0.0.20,10.0.0.25,8,1480,4,740,4,740,10.28004047,1.681954432,3519.714855,3519.714855,Low
10.0.0.20,10.0.0.26,16,2960,8,1480,8,1480,10.39606026,2.109077076,5613.829923,5613.829923,Low
10.0.0.20,10.0.0.27,16,2960,8,1480,8,1480,10.39607614,2.440631976,4851.202523,4851.202523,Low
