Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A,Label
10.0.0.16,10.0.0.30,24,4440,12,2220,12,2220,15.87434928,10.26399213,1730.32089,1730.32089,
10.0.0.16,10.0.0.25,16,2960,8,1480,8,1480,19.63108284,8.668036667,1365.937923,1365.937923,
10.0.0.16,10.0.0.28,24,4440,12,2220,12,2220,20.28635439,10.77140783,1648.809541,1648.809541,
10.0.0.16,10.0.0.20,16,2960,8,1480,8,1480,20.74956892,12.72963685,930.1129436,930.1129436,
10.0.0.16,10.0.0.46,24,4440,12,2220,12,2220,20.95438135,11.66591129,1522.384283,1522.384283,
10.0.0.16,10.0.0.26,24,4440,12,2220,12,2220,25.38759512,2.853955495,6222.94217,6222.94217,
10.0.0.16,10.0.0.44,24,4440,12,2220,12,2220,29.79822103,9.416304723,1886.090194,1886.090194,
10.0.0.17,10.0.0.16,8,1480,4,740,4,740,5.876596077,4.442934312,1332.452741,1332.452741,
10.0.0.17,10.0.0.46,24,4440,12,2220,12,2220,6.294261267,0.156858385,113223.1471,113223.1471,
10.0.0.17,10.0.0.38,24,4440,12,2220,12,2220,6.494164151,30.94984929,573.8315504,573.8315504,
10.0.0.17,10.0.0.14,8,1480,4,740,4,740,7.401061565,12.48593102,474.1336461,474.1336461,
10.0.0.17,10.0.0.19,16,2960,8,1480,8,1480,7.498087249,29.65822565,399.2147116,399.2147116,
10.0.0.17,10.0.0.33,24,4440,12,2220,12,2220,8.099515071,17.40483547,1020.406084,1020.406084,
10.0.0.17,10.0.0.35,24,4440,12,2220,12,2220,8.194319059,25.81862089,687.8756258,687.8756258,
10.0.0.17,10.0.0.10,8,1480,4,740,4,740,9.850006265,15.54676483,380.786618,380.786618,
10.0.0.17,10.0.0.25,16,2960,8,1480,8,1480,10.43296687,11.83812475,1000.158408,1000.158408,
10.0.0.17,10.0.0.39,24,4440,12,2220,12,2220,11.80725969,19.55482753,908.2156298,908.2156298,
10.0.0.17,10.0.0.41,24,4440,12,2220,12,2220,12.29796851,7.038916821,2523.115481,2523.115481,
10.0.0.17,10.0.0.12,8,1480,4,740,4,740,14.49686947,0.351970328,16819.59963,16819.59963,
10.0.0.17,10.0.0.11,8,1480,4,740,4,740,14.53082071,4.394412503,1347.165291,1347.165291,
10.0.0.17,10.0.0.34,24,4440,12,2220,12,2220,19.17597909,19.09275852,930.195602,930.195602,
10.0.0.17,10.0.0.24,16,2960,8,1480,8,1480,21.24885007,12.76474089,927.55506,927.55506,
10.0.0.17,10.0.0.22,16,2960,8,1480,8,1480,26.9107274,3.72425624,3179.158263,3179.158263,
10.0.0.17,10.0.0.42,24,4440,12,2220,12,2220,28.39498691,1.799793182,9867.800466,9867.800466,
10.0.0.17,10.0.0.23,16,2960,8,1480,8,1480,29.09381052,4.072751297,2907.125709,2907.125709,
10.0.0.17,10.0.0.21,16,2960,8,1480,8,1480,29.58255888,0.953848341,12412.87476,12412.87476,
10.0.0.17,10.0.0.20,16,2960,8,1480,8,1480,29.98836625,9.102945579,1300.677885,1300.677885,
10.0.0.18,10.0.0.28,16,2960,8,1480,8,1480,5.939705427,18.09920646,654.1723266,654.1723266,
10.0.0.18,10.0.0.34,16,2960,8,1480,8,1480,6.389244091,33.18709877,356.7651418,356.7651418,
10.0.0.18,10.0.0.41,16,2960,8,1480,8,1480,7.269047031,13.32014396,888.879282,888.879282,
10.0.0.18,10.0.0.48,16,2960,8,1480,8,1480,8.46538754,5.32986277,2221.445563,2221.445563,
10.0.0.18,10.0.0.47,16,2960,8,1480,8,1480,8.763911428,6.80717331,1739.341642,1739.341642,
10.0.0.18,10.0.0.20,8,1480,4,740,4,740,9.535934382,10.44515717,566.7698343,566.7698343,
