No.,Time,Source,Destination,Protocol,Length,Info
303,4.303907509,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
304,4.303919816,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
305,4.303931159,127.0.0.1,127.0.0.1,OpenFlow,206,Type: OFPT_PACKET_IN[Malformed Packet]
306,4.30394313,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
307,4.304196282,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
308,4.304226756,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
309,4.304249187,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
310,4.304260365,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
311,4.304271547,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
312,4.304283517,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
313,4.304381427,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
314,4.304395544,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
315,4.304414208,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
316,4.304425522,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
317,4.304437509,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
318,4.304448998,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
319,4.304544312,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
320,4.304714711,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
321,4.304749752,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
322,4.30476409,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
323,4.304776303,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
324,4.304788273,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
325,4.304870847,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
326,4.304886081,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
327,4.305265162,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
328,4.305301598,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
329,4.305414427,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
330,4.305429903,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
331,4.305513935,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
332,4.305529632,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
333,4.331182594,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
334,4.332918884,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
335,4.339707099,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
336,4.339875874,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
337,4.344140754,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
338,4.344205936,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
339,4.344252199,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
340,4.344266034,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
341,4.344368741,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
342,4.344617073,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
343,4.352065875,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
344,4.352148197,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
345,4.352254537,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
346,4.352267766,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
348,4.352700064,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
349,4.352755798,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
350,4.352841222,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
351,4.352895999,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
353,4.353186443,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
354,4.353575718,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
355,4.35358211,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
356,4.353593474,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
357,4.353598468,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
358,4.353680212,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
359,4.353689663,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
360,4.353695065,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
361,4.353700803,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
362,4.353705541,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
363,4.355185036,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
364,4.355251388,127.0.0.1,127.0.0.1,OpenFlow,206,Type: OFPT_PACKET_IN[Malformed Packet]
365,4.355256577,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
366,4.355315384,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
367,4.355325832,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
368,4.355330652,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
371,4.355504478,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
372,4.355562158,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
373,4.355597089,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
374,4.35560626,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
376,4.356053139,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
377,4.356156959,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
378,4.356833464,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
379,4.356907125,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
380,4.356922643,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
381,4.356946607,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
382,4.356992358,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
383,4.357000517,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
384,4.365695137,127.0.0.1,127.0.0.1,OpenFlow,206,Type: OFPT_PACKET_IN[Malformed Packet]
