Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
10.0.0.32,10.0.0.47,24,4440,12,2220,12,2220,8.365599653,0.534325245,33238.18249,33238.18249
10.0.0.32,10.0.0.30,8,1480,4,740,4,740,9.693354168,0.070785087,83633.43539,83633.43539
10.0.0.32,10.0.0.22,16,2960,8,1480,8,1480,10.41052451,1.914792429,6183.43786,6183.43786
10.0.0.32,10.0.0.27,8,1480,4,740,4,740,10.55153308,0.557481288,10619.1905,10619.1905
10.0.0.32,10.0.0.31,8,1480,4,740,4,740,11.73103103,0.051849359,114176.9178,114176.9178
10.0.0.32,10.0.0.23,16,2960,8,1480,8,1480,12.07620886,0.601428718,19686.45601,19686.45601
10.0.0.32,10.0.0.37,24,4440,12,2220,12,2220,12.18481998,0.775645904,22897.04607,22897.04607
10.0.0.33,10.0.0.42,24,4440,12,2220,12,2220,5.002701008,4.189146506,4239.527067,4239.527067
10.0.0.33,10.0.0.11,24,4440,12,2220,12,2220,5.707332963,0.589298526,30137.5266,30137.5266
10.0.0.33,10.0.0.24,16,2960,8,1480,8,1480,5.842606573,3.910516103,3027.733345,3027.733345
10.0.0.33,10.0.0.19,16,2960,8,1480,8,1480,5.842609228,1.102380123,10740.39685,10740.39685
10.0.0.33,10.0.0.13,24,4440,12,2220,12,2220,5.931627255,5.378408247,3302.092215,3302.092215
10.0.0.33,10.0.0.25,16,2960,8,1480,8,1480,6.102955679,0.470085994,25186.88102,25186.88102
10.0.0.33,10.0.0.12,24,4440,12,2220,12,2220,6.102960179,0.734640081,24175.10351,24175.10351
10.0.0.33,10.0.0.36,24,4452,12,2232,12,2220,6.135543117,4.833788619,3693.996864,3674.136666
10.0.0.33,10.0.0.26,8,1480,4,740,4,740,6.382297563,0.321698017,18402.35154,18402.35154
10.0.0.33,10.0.0.10,24,4440,12,2220,12,2220,6.821139611,2.343294409,7579.073262,7579.073262
10.0.0.33,10.0.0.18,16,2960,8,1480,8,1480,7.62942037,3.623210364,3267.820195,3267.820195
10.0.0.33,10.0.0.22,16,2960,8,1480,8,1480,8.156594231,3.550739533,3334.516624,3334.516624
10.0.0.33,10.0.0.40,24,4440,12,2220,12,2220,8.426537921,3.356578325,5291.10251,5291.10251
10.0.0.33,10.0.0.47,24,4440,12,2220,12,2220,10.0468296,0.139634236,127189.438,127189.438
10.0.0.33,10.0.0.15,24,4440,12,2220,12,2220,10.11809076,1.677426539,10587.64696,10587.64696
10.0.0.33,10.0.0.32,8,1480,4,740,4,740,10.30938379,0.61569001,9615.228287,9615.228287
10.0.0.33,10.0.0.14,24,4440,12,2220,12,2220,10.68316902,0.28623988,62045.86167,62045.86167
10.0.0.33,10.0.0.31,8,1480,4,740,4,740,12.05763852,0.288769927,20500.74972,20500.74972
10.0.0.34,10.0.0.17,24,4440,12,2220,12,2220,5.833251359,3.004478336,5911.175923,5911.175923
10.0.0.34,10.0.0.11,24,4440,12,2220,12,2220,6.334000286,2.503736531,7093.398119,7093.398119
10.0.0.34,10.0.0.48,24,4440,12,2220,12,2220,6.382191807,3.395930203,5229.789465,5229.789465
10.0.0.34,10.0.0.20,16,2960,8,1480,8,1480,6.595082494,5.705439043,2075.212777,2075.212777
10.0.0.34,10.0.0.33,24,4440,12,2220,12,2220,6.695439151,2.90560646,6112.321212,6112.321212
10.0.0.34,10.0.0.36,8,1480,4,740,4,740,6.80492392,0.13217224,44790.04063,44790.04063
10.0.0.34,10.0.0.43,24,4440,12,2220,12,2220,6.815398807,2.084384754,8520.499858,8520.499858
10.0.0.34,10.0.0.26,24,4440,12,2220,12,2220,7.164313431,5.797747988,3063.258361,3063.258361
10.0.0.34,10.0.0.46,24,4440,12,2220,12,2220,7.743806883,1.363621803,13024.13907,13024.13907
